"TIMESTAMP","RECORD","BattV_Max","PTemp_C_Max","SlrW_Avg","SlrW_Max","SlrW_Min","SlrW_Std","Raw_mV_Avg","Raw_mV_Max","Raw_mV_Min","Raw_mV_Std","CS320_Temp_Avg","CS320_Temp_Max","CS320_Temp_Min","CS320_Temp_Std","CS320_X_Avg","CS320_X_Max","CS320_X_Min","CS320_X_Std","CS320_Y_Avg","CS320_Y_Max","CS320_Y_Min","CS320_Y_Std","CS320_Z_Avg","CS320_Z_Max","CS320_Z_Min","CS320_Z_Std","SlrMJ_Tot","AirTC_Avg","AirTC_Max","AirTC_Min","AirTC_Std","RH_Max","RH_Min","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WS_ms_Std","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","Rain_mm_Tot","VWC_5cm_Avg","VWC_5cm_Max","VWC_5cm_Min","VWC_5cm_Std","Ka_5cm_Avg","Ka_5cm_Max","Ka_5cm_Min","Ka_5cm_Std","T_5cm_Avg","T_5cm_Max","T_5cm_Min","T_5cm_Std","BulkEC_5cm_Avg","BulkEC_5cm_Max","BulkEC_5cm_Min","BulkEC_5cm_Std","VWC_10cm_Avg","VWC_10cm_Max","VWC_10cm_Min","VWC_10cm_Std","Ka_10cm_Avg","Ka_10cm_Max","Ka_10cm_Min","Ka_10cm_Std","T_10cm_Avg","T_10cm_Max","T_10cm_Min","T_10cm_Std","BulkEC_10cm_Avg","BulkEC_10cm_Max","BulkEC_10cm_Min","BulkEC_10cm_Std","VWC_20cm_Avg","VWC_20cm_Max","VWC_20cm_Min","VWC_20cm_Std","Ka_20cm_Avg","Ka_20cm_Max","Ka_20cm_Min","Ka_20cm_Std","T_20cm_Avg","T_20cm_Max","T_20cm_Min","T_20cm_Std","BulkEC_20cm_Avg","BulkEC_20cm_Max","BulkEC_20cm_Min","BulkEC_20cm_Std","VWC_30cm_Avg","VWC_30cm_Max","VWC_30cm_Min","VWC_30cm_Std","Ka_30cm_Avg","Ka_30cm_Max","Ka_30cm_Min","Ka_30cm_Std","T_30cm_Avg","T_30cm_Max","T_30cm_Min","T_30cm_Std","BulkEC_30cm_Avg","BulkEC_30cm_Max","BulkEC_30cm_Min","BulkEC_30cm_Std","VWC_40cm_Avg","VWC_40cm_Max","VWC_40cm_Min","VWC_40cm_Std","Ka_40cm_Avg","Ka_40cm_Max","Ka_40cm_Min","Ka_40cm_Std","T_40cm_Avg","T_40cm_Max","T_40cm_Min","T_40cm_Std","BulkEC_40cm_Avg","BulkEC_40cm_Max","BulkEC_40cm_Min","BulkEC_40cm_Std","VWC_50cm_Avg","VWC_50cm_Max","VWC_50cm_Min","VWC_50cm_Std","Ka_50cm_Avg","Ka_50cm_Max","Ka_50cm_Min","Ka_50cm_Std","T_50cm_Avg","T_50cm_Max","T_50cm_Min","T_50cm_Std","BulkEC_50cm_Avg","BulkEC_50cm_Max","BulkEC_50cm_Min","BulkEC_50cm_Std"
"2023-08-02 16:00:00",0,13.46,26.83,639.1,742,413.9,76.9,25.01,29.04,16.2,3.009,27.58,27.99,27.02,0.261,4.558,5.597,3.449,0.354,0,0,0,0,0,0,0,0,0.4505354,21.04,21.5,20.64,0.245,41.99,38.36,0.555,2.679,0,0.772,0.555,260.8,31.32,0,0,0,0,0,0.019,0.904,0,0.13,0.692,32.53,0,4.694,0,0.012,0,0.002,0,0,0,0,0.02,0.954,0,0.138,0.692,32.53,0,4.694,0,0.011,0,0.002,0,0,0,0,0.02,0.937,0,0.135,0.707,33.22,0,4.794,0,0.009,0,0.001,0,0,0,0,0.02,0.951,0,0.137,0.716,33.68,0,4.859,0,0.009,0,0.001,0,0,0,0,0.021,0.972,0,0.14,0.724,34.01,0,4.908,0,0.004,0,0.001,0,0,0,0,0.019,0.894,0,0.129,0.737,34.65,0,5,0,0.001,0,0
"2023-08-02 16:30:00",1,13.46,26.64,412.5,547.4,288.4,52.44,16.14,21.42,11.29,2.052,25.42,27.21,24.63,0.701,5.332,5.839,4.66,0.281,0,0,0,0,0,0,0,0,0.7362798,20.46,20.87,20.08,0.203,45.08,39.2,0.239,1.993,0,0.476,0.239,272.9,42.16,0,0,0,0,0,0.904,0.904,0.904,0,32.53,32.53,32.53,0,0.012,0.012,0.012,0,0,0,0,0,0.954,0.954,0.954,0,32.53,32.53,32.53,0,0.011,0.011,0.011,0,0,0,0,0,0.937,0.937,0.937,0,33.22,33.22,33.22,0,0.009,0.009,0.009,0,0,0,0,0,0.951,0.951,0.951,0,33.68,33.68,33.68,0,0.009,0.009,0.009,0,0,0,0,0,0.972,0.972,0.972,0,34.01,34.01,34.01,0,0.004,0.004,0.004,0,0,0,0,0,0.894,0.894,0.894,0,34.65,34.65,34.65,0,0.001,0.001,0.001,0
"2023-08-02 17:00:00",2,13.6,26.14,210.2,503.9,157.8,75.95,8.23,19.72,6.177,2.972,21.9,24.85,19.99,1.606,6.58,7.311,5.371,0.568,0,0,0,0,0,0,0,0,0.3784486,19.53,20.55,18.66,0.536,48.28,41.92,0.071,1.3,0,0.218,0.071,260.2,30.51,0,0,0,0,0,0.904,0.92,0.904,0.002,32.47,32.53,25.51,0.638,0.012,0.016,0.012,0,0,0,0,0,0.954,0.954,0.95,0,32.47,32.53,25.8,0.612,0.011,0.011,0.008,0,0,0,0,0,0.937,0.942,0.937,0.001,33.16,33.22,26.22,0.636,0.009,0.011,0.009,0,0,0,0,0,0.951,0.957,0.951,0.001,33.62,33.68,26.59,0.644,0.009,0.01,0.009,0,0,0,0,0,0.972,0.972,0.952,0.002,33.95,34.01,26.79,0.657,0.004,0.007,0.004,0,0,0,0,0,0.894,0.894,0.852,0.004,34.59,34.65,27.57,0.644,0.001,0.003,0.001,0
"2023-08-02 17:30:00",3,13.51,24.82,502.5,661.4,226.7,112.3,19.66,25.88,8.87,4.394,25.58,28.43,20.75,2.071,5.326,7.07,4.034,0.801,0,0,0,0,0,0,0,0,0.8969579,19.72,20.54,18.68,0.463,48.57,41.39,0.082,1.751,0,0.279,0.082,275.1,41.98,0,0,0,0,0,0.92,0.92,0.92,0,25.51,25.51,25.51,0,0.016,0.016,0.016,0,0,0,0,0,0.95,0.95,0.95,0,25.8,25.8,25.8,0,0.008,0.008,0.008,0,0,0,0,0,0.942,0.942,0.942,0,26.22,26.22,26.22,0,0.011,0.011,0.011,0,0,0,0,0,0.957,0.957,0.957,0,26.59,26.59,26.59,0,0.01,0.01,0.01,0,0,0,0,0,0.952,0.952,0.952,0,26.79,26.79,26.79,0,0.007,0.007,0.007,0,0,0,0,0,0.852,0.852,0.852,0,27.57,27.57,27.57,0,0.003,0.003,0.003,0
"2023-08-02 18:00:00",4,13.5,25.25,476,561.8,377.5,45.85,18.63,21.98,14.77,1.794,27.45,28.01,26.25,0.415,4.611,5.114,3.991,0.205,0,0,0,0,0,0,0,0,0.8568427,19.8,19.99,19.62,0.085,46,42.21,0.098,2.417,0,0.314,0.098,270.7,38.08,0,0,0,0,0,0.92,0.92,0.908,0.001,25.57,32.89,25.51,0.671,0.016,0.016,0.013,0,0,0,0,0,0.95,0.95,0.943,0.001,25.85,32.29,25.8,0.59,0.008,0.009,0.008,0,0,0,0,0,0.942,0.945,0.942,0,26.28,33.01,26.22,0.617,0.011,0.011,0.01,0,0,0,0,0,0.957,0.957,0.9,0.005,26.64,32.89,26.59,0.573,0.01,0.011,0.01,0,0,0,0,0,0.952,0.979,0.952,0.002,26.84,33.06,26.79,0.57,0.007,0.009,0.007,0,0,0,0,0,0.853,0.898,0.852,0.004,27.61,33.34,27.57,0.525,0.003,0.005,0.003,0
"2023-08-02 18:30:00",5,13.57,25.21,142.5,419,64.54,106.3,5.577,16.4,2.525,4.159,23.23,27.77,19.21,2.879,6.05,7.619,4.361,1.026,0,0,0,0,0,0,0,0,0.2544109,19.39,19.75,18.91,0.193,48.44,43.48,0.046,1.307,0,0.18,0.046,271.1,34.98,0,0,0,0,0,0.908,0.908,0.908,0,32.89,32.89,32.89,0,0.013,0.013,0.013,0,0,0,0,0,0.943,0.943,0.943,0,32.29,32.29,32.29,0,0.009,0.009,0.009,0,0,0,0,0,0.945,0.945,0.945,0,33.01,33.01,33.01,0,0.01,0.01,0.01,0,0,0,0,0,0.9,0.9,0.9,0,32.89,32.89,32.89,0,0.011,0.011,0.011,0,0,0,0,0,0.979,0.979,0.979,0,33.06,33.06,33.06,0,0.009,0.009,0.009,0,0,0,0,0,0.898,0.898,0.898,0,33.34,33.34,33.34,0,0.005,0.005,0.005,0
"2023-08-02 19:00:00",6,13.18,24.22,47.69,127.3,25.64,26.39,1.866,4.983,1.003,1.033,17.88,19.15,16.35,0.922,7.901,8.53,7.348,0.309,0,0,0,0,0,0,0,0,0.08583827,18.33,18.88,17.68,0.372,52.47,47.26,0.015,0.353,0,0.041,0.015,256.6,20.58,0,0,0,0,0,0.909,0.941,0.908,0.003,32.8,32.89,21.45,1.04,0.013,0.018,0.013,0,0,0,0,0,0.943,0.948,0.943,0,32.2,32.29,22,0.936,0.009,0.01,0.009,0,0,0,0,0,0.945,0.951,0.945,0.001,32.92,33.01,22.17,0.986,0.01,0.011,0.01,0,0,0,0,0,0.9,0.916,0.9,0.001,32.8,32.89,22.38,0.956,0.011,0.011,0.011,0,0,0,0,0,0.978,0.979,0.943,0.003,32.97,33.06,22.35,0.974,0.009,0.009,0.008,0,0,0,0,0,0.898,0.898,0.897,0,33.26,33.34,23.03,0.938,0.005,0.005,0.005,0
"2023-08-02 19:30:00",7,13.05,22.31,19.8,29.01,14.69,3.372,0.775,1.135,0.575,0.132,15.47,16.31,14.6,0.486,8.66,8.97,8.32,0.157,0,0,0,0,0,0,0,0,0.0353485,17.11,17.7,16.4,0.383,55.74,50.22,0.009,0.131,0,0.012,0.009,251.4,17.23,0,0,0,0,0,0.941,0.941,0.941,0,21.45,21.45,21.45,0,0.018,0.018,0.018,0,0,0,0,0,0.948,0.948,0.948,0,22,22,22,0,0.01,0.01,0.01,0,0,0,0,0,0.951,0.951,0.951,0,22.17,22.17,22.17,0,0.011,0.011,0.011,0,0,0,0,0,0.916,0.916,0.916,0,22.38,22.38,22.38,0,0.011,0.011,0.011,0,0,0,0,0,0.943,0.943,0.943,0,22.35,22.35,22.35,0,0.008,0.008,0.008,0,0,0,0,0,0.897,0.897,0.897,0,23.03,23.03,23.03,0,0.005,0.005,0.005,0
"2023-08-02 20:00:00",8,13.01,20.55,9.92,14.68,4.474,2.91,0.388,0.574,0.175,0.114,13.65,14.62,12.7,0.557,9.22,9.68,8.8,0.197,0,0,0,0,0,0,0,0,0.01786117,15.53,16.38,14.78,0.477,61.11,55.51,0.009,0.111,0.007,0.011,0.009,251.5,18.4,0,0,0,0,0,0.941,0.941,0.874,0.006,21.4,21.45,16.15,0.482,0.018,0.019,0.018,0,0,0,0,0,0.948,0.948,0.922,0.002,21.95,22,16.52,0.498,0.01,0.011,0.01,0,0,0,0,0,0.95,0.951,0.91,0.004,22.12,22.17,16.62,0.504,0.011,0.012,0.011,0,0,0,0,0,0.916,0.916,0.878,0.003,22.33,22.38,16.75,0.511,0.011,0.011,0.011,0,0,0,0,0,0.942,0.943,0.859,0.008,22.3,22.35,16.93,0.493,0.008,0.008,0.006,0,0,0,0,0,0.896,0.897,0.83,0.006,22.99,23.03,18.11,0.447,0.005,0.005,0.005,0
"2023-08-02 20:30:00",9,12.98,18.98,1.233,4.528,-0.834,1.644,0.048,0.177,-0.033,0.064,11.84,12.69,10.94,0.497,9.76,10.15,9.31,0.181,0,0,0,0,0,0,0,0,0.002200365,14.12,14.77,13.35,0.407,68.14,61.14,0.008,0.013,0.007,0.003,0.008,247.4,0.391,0,0,0,0,0,0.874,0.874,0.874,0,16.15,16.15,16.15,0,0.019,0.019,0.019,0,0,0,0,0,0.922,0.922,0.922,0,16.52,16.52,16.52,0,0.011,0.011,0.011,0,0,0,0,0,0.91,0.91,0.91,0,16.62,16.62,16.62,0,0.012,0.012,0.012,0,0,0,0,0,0.878,0.878,0.878,0,16.75,16.75,16.75,0,0.011,0.011,0.011,0,0,0,0,0,0.859,0.859,0.859,0,16.93,16.93,16.93,0,0.006,0.006,0.006,0,0,0,0,0,0.83,0.83,0.83,0,18.11,18.11,18.11,0,0.005,0.005,0.005,0
