survey_date,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,survey.notes
7/3/2023,NA,CP2_1_1,CP2_1,CP2,1,1,0.5,1.6,KN
7/3/2023,NA,CP2_1_2,CP2_1,CP2,1,2,0.7,1.8,KN
7/3/2023,NA,CP2_1_3,CP2_1,CP2,1,3,1.1,1.8,KN
7/3/2023,NA,CP2_1_4,CP2_1,CP2,1,4,0.8,1.6,KN
7/3/2023,NA,CP2_1_5,CP2_1,CP2,1,5,0.9,1.8,KN
7/3/2023,NA,CP2_1_6,CP2_1,CP2,1,6,1,1.9,KN
7/3/2023,NA,CP2_1_7,CP2_1,CP2,1,7,1.5,2,KN
7/3/2023,NA,CP2_1_8,CP2_1,CP2,1,8,1.1,1.5,KN
7/3/2023,NA,CP2_1_9,CP2_1,CP2,1,9,0.5,1.8,KN
7/3/2023,NA,CP2_1_10,CP2_1,CP2,1,10,0.7,1.4,KN
7/3/2023,NA,CP2_1_11,CP2_1,CP2,1,11,0.8,1.6,KN
7/3/2023,NA,CP2_1_12,CP2_1,CP2,1,12,0.5,1.6,KN
7/3/2023,NA,CP2_1_13,CP2_1,CP2,1,13,0.5,1.1,KN
7/3/2023,NA,CP2_2_1,CP2_2,CP2,2,1,0.9,1.1,KN
7/3/2023,NA,CP2_2_2,CP2_2,CP2,2,2,1.5,2.2,KN
7/3/2023,NA,CP2_2_3,CP2_2,CP2,2,3,0.9,1.7,KN
7/3/2023,NA,CP2_2_4,CP2_2,CP2,2,4,0.8,2,KN
7/3/2023,NA,CP2_2_5,CP2_2,CP2,2,5,1.4,2.4,KN
7/3/2023,NA,CP2_2_6,CP2_2,CP2,2,6,1.3,1.5,KN
7/3/2023,NA,CP2_2_7,CP2_2,CP2,2,7,1.3,2,KN
7/3/2023,NA,CP2_2_8,CP2_2,CP2,2,8,1,1.8,KN
7/3/2023,NA,CP2_2_9,CP2_2,CP2,2,9,0.5,2,KN
7/3/2023,NA,CP2_2_10,CP2_2,CP2,2,10,0.8,1.6,KN
7/3/2023,NA,CP2_2_11,CP2_2,CP2,2,11,1,1.8,KN
7/3/2023,NA,CP2_2_12,CP2_2,CP2,2,12,0.6,2.3,KN
7/3/2023,NA,CP2_2_13,CP2_2,CP2,2,13,0.8,1.8,KN
7/3/2023,NA,CP2_3_1,CP2_3,CP2,3,1,0.9,2.1,KN
7/3/2023,NA,CP2_3_2,CP2_3,CP2,3,2,0.4,1.3,KN
7/3/2023,NA,CP2_3_3,CP2_3,CP2,3,3,1,2.5,KN
7/3/2023,NA,CP2_3_4,CP2_3,CP2,3,4,1.7,2.3,KN
7/3/2023,NA,CP2_3_5,CP2_3,CP2,3,5,1.3,1.8,KN
7/3/2023,NA,CP2_3_6,CP2_3,CP2,3,6,0.8,2,KN
7/3/2023,NA,CP2_3_7,CP2_3,CP2,3,7,0.6,2.4,KN
7/3/2023,NA,CP2_3_8,CP2_3,CP2,3,8,1.7,2.2,KN
7/3/2023,NA,CP2_3_9,CP2_3,CP2,3,9,1.8,1.8,KN
7/3/2023,NA,CP2_3_10,CP2_3,CP2,3,10,1.4,2.5,KN
7/3/2023,NA,CP2_3_11,CP2_3,CP2,3,11,1.5,2.2,KN
7/3/2023,NA,CP2_3_12,CP2_3,CP2,3,12,1.3,1.8,KN
7/3/2023,NA,CP2_3_13,CP2_3,CP2,3,13,1.1,1.9,KN
7/3/2023,NA,CP2_4_1,CP2_4,CP2,4,1,0.8,1.2,KN
7/3/2023,NA,CP2_4_2,CP2_4,CP2,4,2,1.2,1.7,KN
7/3/2023,NA,CP2_4_3,CP2_4,CP2,4,3,0.7,1.3,KN
7/3/2023,NA,CP2_4_4,CP2_4,CP2,4,4,0.9,1.7,KN
7/3/2023,NA,CP2_4_5,CP2_4,CP2,4,5,0.9,2.1,KN
7/3/2023,NA,CP2_4_6,CP2_4,CP2,4,6,1.3,1.7,KN
7/3/2023,NA,CP2_4_7,CP2_4,CP2,4,7,1.4,1.7,KN
7/3/2023,NA,CP2_4_8,CP2_4,CP2,4,8,1,1.1,KN
7/3/2023,NA,CP2_4_9,CP2_4,CP2,4,9,1.1,1.3,KN
7/3/2023,NA,CP2_4_10,CP2_4,CP2,4,10,0.9,1.2,KN
7/3/2023,NA,CP2_4_11,CP2_4,CP2,4,11,0.5,1.5,KN
7/3/2023,NA,CP2_4_12,CP2_4,CP2,4,12,1.5,1.8,KN
7/3/2023,NA,CP2_4_13,CP2_4,CP2,4,13,0.7,0.8,KN
7/3/2023,NA,CP2_5_1,CP2_5,CP2,5,1,1.4,0.9,KN
7/3/2023,NA,CP2_5_2,CP2_5,CP2,5,2,0.8,1.4,KN
7/3/2023,NA,CP2_5_3,CP2_5,CP2,5,3,1.7,1.9,KN
7/3/2023,NA,CP2_5_4,CP2_5,CP2,5,4,0.9,2.2,KN
7/3/2023,NA,CP2_5_5,CP2_5,CP2,5,5,2.3,1.7,KN
7/3/2023,NA,CP2_5_6,CP2_5,CP2,5,6,0.8,1.3,KN
7/3/2023,NA,CP2_5_7,CP2_5,CP2,5,7,0.5,1.5,KN
7/3/2023,NA,CP2_5_8,CP2_5,CP2,5,8,1.4,1.8,KN
7/3/2023,NA,CP2_5_9,CP2_5,CP2,5,9,1.5,2,KN
7/3/2023,NA,CP2_5_10,CP2_5,CP2,5,10,0.9,0.9,KN
7/3/2023,NA,CP2_5_11,CP2_5,CP2,5,11,1.2,1.8,KN
7/3/2023,NA,CP2_5_12,CP2_5,CP2,5,12,0.8,1.7,KN
7/3/2023,NA,CP2_5_13,CP2_5,CP2,5,13,0.9,1.4,KN
7/3/2023,NA,CP2_6_1,CP2_6,CP2,6,1,1,0.5,KN
7/3/2023,NA,CP2_6_5,CP2_6,CP2,6,5,1.3,1,KN
7/3/2023,NA,CP2_6_7,CP2_6,CP2,6,7,0.8,1.1,KN
7/3/2023,NA,CP2_6_11,CP2_6,CP2,6,11,0.6,1.2,KN
7/3/2023,NA,CP2_6_12,CP2_6,CP2,6,12,1.1,1.2,KN
7/3/2023,NA,CP2_6_13,CP2_6,CP2,6,13,0.8,1.4,KN
7/3/2023,NA,CP2_7_1,CP2_7,CP2,7,1,1.1,1.6,KN
7/3/2023,NA,CP2_7_2,CP2_7,CP2,7,2,1,1.3,KN
7/3/2023,NA,CP2_7_3,CP2_7,CP2,7,3,1.5,1.7,KN
7/3/2023,NA,CP2_7_4,CP2_7,CP2,7,4,1.6,1.5,KN
7/3/2023,NA,CP2_7_5,CP2_7,CP2,7,5,1.7,1.6,KN
7/3/2023,NA,CP2_7_6,CP2_7,CP2,7,6,0.8,1.6,KN
