PID,survey_date,height_cm
CP2_1_1_CP2_1_CP2_1_1,2023-07-03,0.5
CP2_1_2_CP2_1_CP2_1_2,2023-07-03,0.7
CP2_1_3_CP2_1_CP2_1_3,2023-07-03,1.1
CP2_1_4_CP2_1_CP2_1_4,2023-07-03,0.8
CP2_1_5_CP2_1_CP2_1_5,2023-07-03,0.9
CP2_1_6_CP2_1_CP2_1_6,2023-07-03,1
CP2_1_7_CP2_1_CP2_1_7,2023-07-03,1.5
CP2_1_8_CP2_1_CP2_1_8,2023-07-03,1.1
CP2_1_9_CP2_1_CP2_1_9,2023-07-03,0.5
CP2_1_10_CP2_1_CP2_1_10,2023-07-03,0.7
CP2_1_11_CP2_1_CP2_1_11,2023-07-03,0.8
CP2_1_12_CP2_1_CP2_1_12,2023-07-03,0.5
CP2_1_13_CP2_1_CP2_1_13,2023-07-03,0.5
CP2_2_1_CP2_2_CP2_2_1,2023-07-03,0.9
CP2_2_2_CP2_2_CP2_2_2,2023-07-03,1.5
CP2_2_3_CP2_2_CP2_2_3,2023-07-03,0.9
CP2_2_4_CP2_2_CP2_2_4,2023-07-03,0.8
CP2_2_5_CP2_2_CP2_2_5,2023-07-03,1.4
CP2_2_6_CP2_2_CP2_2_6,2023-07-03,1.3
CP2_2_7_CP2_2_CP2_2_7,2023-07-03,1.3
CP2_2_8_CP2_2_CP2_2_8,2023-07-03,1
CP2_2_9_CP2_2_CP2_2_9,2023-07-03,0.5
CP2_2_10_CP2_2_CP2_2_10,2023-07-03,0.8
CP2_2_11_CP2_2_CP2_2_11,2023-07-03,1
CP2_2_12_CP2_2_CP2_2_12,2023-07-03,0.6
CP2_2_13_CP2_2_CP2_2_13,2023-07-03,0.8
CP2_3_1_CP2_3_CP2_3_1,2023-07-03,0.9
CP2_3_2_CP2_3_CP2_3_2,2023-07-03,0.4
CP2_3_3_CP2_3_CP2_3_3,2023-07-03,1
CP2_3_4_CP2_3_CP2_3_4,2023-07-03,1.7
CP2_3_5_CP2_3_CP2_3_5,2023-07-03,1.3
CP2_3_6_CP2_3_CP2_3_6,2023-07-03,0.8
CP2_3_7_CP2_3_CP2_3_7,2023-07-03,0.6
CP2_3_8_CP2_3_CP2_3_8,2023-07-03,1.7
CP2_3_9_CP2_3_CP2_3_9,2023-07-03,1.8
CP2_3_10_CP2_3_CP2_3_10,2023-07-03,1.4
CP2_3_11_CP2_3_CP2_3_11,2023-07-03,1.5
CP2_3_12_CP2_3_CP2_3_12,2023-07-03,1.3
CP2_3_13_CP2_3_CP2_3_13,2023-07-03,1.1
CP2_4_1_CP2_4_CP2_4_1,2023-07-03,0.8
CP2_4_2_CP2_4_CP2_4_2,2023-07-03,1.2
CP2_4_3_CP2_4_CP2_4_3,2023-07-03,0.7
CP2_4_4_CP2_4_CP2_4_4,2023-07-03,0.9
CP2_4_5_CP2_4_CP2_4_5,2023-07-03,0.9
CP2_4_6_CP2_4_CP2_4_6,2023-07-03,1.3
CP2_4_7_CP2_4_CP2_4_7,2023-07-03,1.4
CP2_4_8_CP2_4_CP2_4_8,2023-07-03,1
CP2_4_9_CP2_4_CP2_4_9,2023-07-03,1.1
CP2_4_10_CP2_4_CP2_4_10,2023-07-03,0.9
CP2_4_11_CP2_4_CP2_4_11,2023-07-03,0.5
CP2_4_12_CP2_4_CP2_4_12,2023-07-03,1.5
CP2_4_13_CP2_4_CP2_4_13,2023-07-03,0.7
CP2_5_1_CP2_5_CP2_5_1,2023-07-03,1.4
CP2_5_2_CP2_5_CP2_5_2,2023-07-03,0.8
CP2_5_3_CP2_5_CP2_5_3,2023-07-03,1.7
CP2_5_4_CP2_5_CP2_5_4,2023-07-03,0.9
CP2_5_5_CP2_5_CP2_5_5,2023-07-03,2.3
CP2_5_6_CP2_5_CP2_5_6,2023-07-03,0.8
CP2_5_7_CP2_5_CP2_5_7,2023-07-03,0.5
CP2_5_8_CP2_5_CP2_5_8,2023-07-03,1.4
CP2_5_9_CP2_5_CP2_5_9,2023-07-03,1.5
CP2_5_10_CP2_5_CP2_5_10,2023-07-03,0.9
CP2_5_11_CP2_5_CP2_5_11,2023-07-03,1.2
CP2_5_12_CP2_5_CP2_5_12,2023-07-03,0.8
CP2_5_13_CP2_5_CP2_5_13,2023-07-03,0.9
CP2_6_1_CP2_6_CP2_6_1,2023-07-03,1
CP2_6_5_CP2_6_CP2_6_5,2023-07-03,1.3
CP2_6_7_CP2_6_CP2_6_7,2023-07-03,0.8
CP2_6_11_CP2_6_CP2_6_11,2023-07-03,0.6
CP2_6_12_CP2_6_CP2_6_12,2023-07-03,1.1
CP2_6_13_CP2_6_CP2_6_13,2023-07-03,0.8
CP2_7_1_CP2_7_CP2_7_1,2023-07-03,1.1
CP2_7_2_CP2_7_CP2_7_2,2023-07-03,1
CP2_7_3_CP2_7_CP2_7_3,2023-07-03,1.5
CP2_7_4_CP2_7_CP2_7_4,2023-07-03,1.6
CP2_7_5_CP2_7_CP2_7_5,2023-07-03,1.7
CP2_7_6_CP2_7_CP2_7_6,2023-07-03,0.8
CP2_7_7_CP2_7_CP2_7_7,2023-07-03,1.6
CP2_7_8_CP2_7_CP2_7_8,2023-07-03,0.7
CP2_7_9_CP2_7_CP2_7_9,2023-07-03,0.8
CP2_7_10_CP2_7_CP2_7_10,2023-07-03,1.2
CP2_7_11_CP2_7_CP2_7_11,2023-07-03,0.9
CP2_7_12_CP2_7_CP2_7_12,2023-07-03,1.2
CP2_7_13_CP2_7_CP2_7_13,2023-07-03,1.3
CP3_1_1_CP3_1_CP3_1_1,2023-07-03,0.8
CP3_1_2_CP3_1_CP3_1_2,2023-07-03,1.4
CP3_1_3_CP3_1_CP3_1_3,2023-07-03,1.3
CP3_1_4_CP3_1_CP3_1_4,2023-07-03,1.4
CP3_1_5_CP3_1_CP3_1_5,2023-07-03,1.2
CP3_1_6_CP3_1_CP3_1_6,2023-07-03,0.9
CP3_1_7_CP3_1_CP3_1_7,2023-07-03,1
CP3_1_8_CP3_1_CP3_1_8,2023-07-03,0.9
CP3_1_9_CP3_1_CP3_1_9,2023-07-03,1.2
CP3_1_10_CP3_1_CP3_1_10,2023-07-03,1.1
CP3_1_11_CP3_1_CP3_1_11,2023-07-03,1
CP3_1_12_CP3_1_CP3_1_12,2023-07-03,1.2
CP3_1_13_CP3_1_CP3_1_13,2023-07-03,1.4
CP3_2_1_CP3_2_CP3_2_1,2023-07-03,0.7
CP3_2_2_CP3_2_CP3_2_2,2023-07-03,1
CP3_2_3_CP3_2_CP3_2_3,2023-07-03,1.1
CP3_2_4_CP3_2_CP3_2_4,2023-07-03,0.9
CP3_2_5_CP3_2_CP3_2_5,2023-07-03,0.7
CP3_2_6_CP3_2_CP3_2_6,2023-07-03,0.5
CP3_2_7_CP3_2_CP3_2_7,2023-07-03,0.8
CP3_2_8_CP3_2_CP3_2_8,2023-07-03,1
CP3_2_9_CP3_2_CP3_2_9,2023-07-03,0.5
CP3_2_10_CP3_2_CP3_2_10,2023-07-03,0.8
CP3_2_11_CP3_2_CP3_2_11,2023-07-03,1
CP3_2_12_CP3_2_CP3_2_12,2023-07-03,0.6
CP3_3_1_CP3_3_CP3_3_1,2023-07-03,0.5
CP3_3_2_CP3_3_CP3_3_2,2023-07-03,1.3
CP3_3_3_CP3_3_CP3_3_3,2023-07-03,1.1
CP3_3_4_CP3_3_CP3_3_4,2023-07-03,1.4
CP3_3_5_CP3_3_CP3_3_5,2023-07-03,1.6
CP3_3_6_CP3_3_CP3_3_6,2023-07-03,1
CP3_3_7_CP3_3_CP3_3_7,2023-07-03,1.9
CP3_3_8_CP3_3_CP3_3_8,2023-07-03,1
CP3_3_9_CP3_3_CP3_3_9,2023-07-03,1.1
CP3_3_10_CP3_3_CP3_3_10,2023-07-03,1
CP3_3_11_CP3_3_CP3_3_11,2023-07-03,1.2
CP3_3_12_CP3_3_CP3_3_12,2023-07-03,1.3
CP3_3_13_CP3_3_CP3_3_13,2023-07-03,1.1
CP3_4_1_CP3_4_CP3_4_1,2023-07-03,1
CP3_4_2_CP3_4_CP3_4_2,2023-07-03,1.1
CP3_4_3_CP3_4_CP3_4_3,2023-07-03,1.2
CP3_4_4_CP3_4_CP3_4_4,2023-07-03,1.2
CP3_4_5_CP3_4_CP3_4_5,2023-07-03,0.6
CP3_4_6_CP3_4_CP3_4_6,2023-07-03,1.2
CP3_4_7_CP3_4_CP3_4_7,2023-07-03,1
CP3_4_8_CP3_4_CP3_4_8,2023-07-03,0.9
CP3_4_9_CP3_4_CP3_4_9,2023-07-03,0.7
CP3_4_10_CP3_4_CP3_4_10,2023-07-03,1.2
CP3_4_11_CP3_4_CP3_4_11,2023-07-03,1.7
CP3_4_12_CP3_4_CP3_4_12,2023-07-03,1
CP3_4_13_CP3_4_CP3_4_13,2023-07-03,1.4
CP3_5_1_CP3_5_CP3_5_1,2023-07-03,1.3
CP3_5_2_CP3_5_CP3_5_2,2023-07-03,1
CP3_5_3_CP3_5_CP3_5_3,2023-07-03,1
CP3_5_4_CP3_5_CP3_5_4,2023-07-03,1.5
CP3_5_5_CP3_5_CP3_5_5,2023-07-03,1
CP3_5_6_CP3_5_CP3_5_6,2023-07-03,1.1
CP3_5_7_CP3_5_CP3_5_7,2023-07-03,1
CP3_5_8_CP3_5_CP3_5_8,2023-07-03,1.1
CP3_5_9_CP3_5_CP3_5_9,2023-07-03,1.1
CP3_5_10_CP3_5_CP3_5_10,2023-07-03,1.2
CP3_5_11_CP3_5_CP3_5_11,2023-07-03,1.2
CP3_5_12_CP3_5_CP3_5_12,2023-07-03,1.2
CP3_5_13_CP3_5_CP3_5_13,2023-07-03,0.8
CP3_6_1_CP3_6_CP3_6_1,2023-07-03,1.2
CP3_6_2_CP3_6_CP3_6_2,2023-07-03,1
CP3_6_3_CP3_6_CP3_6_3,2023-07-03,0.7
CP3_6_4_CP3_6_CP3_6_4,2023-07-03,0.9
CP3_6_5_CP3_6_CP3_6_5,2023-07-03,0.4
CP3_6_6_CP3_6_CP3_6_6,2023-07-03,1.4
CP3_6_7_CP3_6_CP3_6_7,2023-07-03,1
CP3_6_8_CP3_6_CP3_6_8,2023-07-03,1
CP3_6_9_CP3_6_CP3_6_9,2023-07-03,1
CP3_6_10_CP3_6_CP3_6_10,2023-07-03,0.9
CP3_6_11_CP3_6_CP3_6_11,2023-07-03,0.8
CP3_6_12_CP3_6_CP3_6_12,2023-07-03,0.7
CP3_6_13_CP3_6_CP3_6_13,2023-07-03,0.5
CP3_7_2_CP3_7_CP3_7_2,2023-07-03,0.7
CP3_7_4_CP3_7_CP3_7_4,2023-07-03,0.9
CP3_7_5_CP3_7_CP3_7_5,2023-07-03,1
CP3_7_10_CP3_7_CP3_7_10,2023-07-03,0.8
CP3_7_11_CP3_7_CP3_7_11,2023-07-03,0.7
CP3_7_12_CP3_7_CP3_7_12,2023-07-03,0.8
CP3_7_13_CP3_7_CP3_7_13,2023-07-03,0.7
LV1_1_1_LV1_1_LV1_1_1,2023-07-03,1
LV1_1_2_LV1_1_LV1_1_2,2023-07-03,1.1
LV1_1_3_LV1_1_LV1_1_3,2023-07-03,0.8
LV1_1_4_LV1_1_LV1_1_4,2023-07-03,0.6
LV1_1_5_LV1_1_LV1_1_5,2023-07-03,1.2
LV1_1_6_LV1_1_LV1_1_6,2023-07-03,1.1
LV1_1_7_LV1_1_LV1_1_7,2023-07-03,0.6
LV1_1_8_LV1_1_LV1_1_8,2023-07-03,0.6
LV1_1_9_LV1_1_LV1_1_9,2023-07-03,0.7
LV1_1_10_LV1_1_LV1_1_10,2023-07-03,0.9
LV1_1_11_LV1_1_LV1_1_11,2023-07-03,0.8
LV1_1_12_LV1_1_LV1_1_12,2023-07-03,0.9
LV1_1_13_LV1_1_LV1_1_13,2023-07-03,0.5
LV1_2_1_LV1_2_LV1_2_1,2023-07-03,0.9
LV1_2_2_LV1_2_LV1_2_2,2023-07-03,0.7
LV1_2_3_LV1_2_LV1_2_3,2023-07-03,1
LV1_2_4_LV1_2_LV1_2_4,2023-07-03,0.8
LV1_2_5_LV1_2_LV1_2_5,2023-07-03,0.8
LV1_2_6_LV1_2_LV1_2_6,2023-07-03,0.9
LV1_2_7_LV1_2_LV1_2_7,2023-07-03,0.8
LV1_2_8_LV1_2_LV1_2_8,2023-07-03,0.8
LV1_2_9_LV1_2_LV1_2_9,2023-07-03,0.6
LV1_2_10_LV1_2_LV1_2_10,2023-07-03,0.6
LV1_2_11_LV1_2_LV1_2_11,2023-07-03,0.5
LV1_2_12_LV1_2_LV1_2_12,2023-07-03,0.6
LV1_2_13_LV1_2_LV1_2_13,2023-07-03,0.5
LV1_3_1_LV1_3_LV1_3_1,2023-07-03,1.2
LV1_3_2_LV1_3_LV1_3_2,2023-07-03,0.9
LV1_3_3_LV1_3_LV1_3_3,2023-07-03,0.8
LV1_3_4_LV1_3_LV1_3_4,2023-07-03,1
LV1_3_5_LV1_3_LV1_3_5,2023-07-03,1.1
LV1_3_6_LV1_3_LV1_3_6,2023-07-03,0.9
LV1_3_7_LV1_3_LV1_3_7,2023-07-03,0.9
LV1_3_8_LV1_3_LV1_3_8,2023-07-03,0.8
LV1_3_9_LV1_3_LV1_3_9,2023-07-03,0.5
LV1_3_10_LV1_3_LV1_3_10,2023-07-03,0.5
LV1_3_11_LV1_3_LV1_3_11,2023-07-03,1
LV1_3_12_LV1_3_LV1_3_12,2023-07-03,0.6
LV1_3_13_LV1_3_LV1_3_13,2023-07-03,0.8
LV1_4_1_LV1_4_LV1_4_1,2023-07-03,1
LV1_4_2_LV1_4_LV1_4_2,2023-07-03,0.9
LV1_4_3_LV1_4_LV1_4_3,2023-07-03,0.7
LV1_4_4_LV1_4_LV1_4_4,2023-07-03,0.8
LV1_4_5_LV1_4_LV1_4_5,2023-07-03,0.7
LV1_4_6_LV1_4_LV1_4_6,2023-07-03,0.7
LV1_4_7_LV1_4_LV1_4_7,2023-07-03,0.8
LV1_4_8_LV1_4_LV1_4_8,2023-07-03,0.5
LV1_4_9_LV1_4_LV1_4_9,2023-07-03,0.6
LV1_4_10_LV1_4_LV1_4_10,2023-07-03,0.6
LV1_4_11_LV1_4_LV1_4_11,2023-07-03,1
LV1_4_12_LV1_4_LV1_4_12,2023-07-03,0.5
LV1_4_13_LV1_4_LV1_4_13,2023-07-03,0.5
LV1_5_1_LV1_5_LV1_5_1,2023-07-03,0.5
LV1_5_2_LV1_5_LV1_5_2,2023-07-03,1.2
LV1_5_3_LV1_5_LV1_5_3,2023-07-03,1
LV1_5_4_LV1_5_LV1_5_4,2023-07-03,1
LV1_5_5_LV1_5_LV1_5_5,2023-07-03,1.5
LV1_5_6_LV1_5_LV1_5_6,2023-07-03,0.9
LV1_5_7_LV1_5_LV1_5_7,2023-07-03,0.8
LV1_5_8_LV1_5_LV1_5_8,2023-07-03,0.8
LV1_5_9_LV1_5_LV1_5_9,2023-07-03,1
LV1_5_10_LV1_5_LV1_5_10,2023-07-03,0.9
LV1_5_11_LV1_5_LV1_5_11,2023-07-03,0.7
LV1_5_12_LV1_5_LV1_5_12,2023-07-03,1
LV1_5_13_LV1_5_LV1_5_13,2023-07-03,0.5
LV1_6_1_LV1_6_LV1_6_1,2023-07-03,1.3
LV1_6_2_LV1_6_LV1_6_2,2023-07-03,1.5
LV1_6_3_LV1_6_LV1_6_3,2023-07-03,1
LV1_6_4_LV1_6_LV1_6_4,2023-07-03,1.3
LV1_6_5_LV1_6_LV1_6_5,2023-07-03,1.1
LV1_6_6_LV1_6_LV1_6_6,2023-07-03,1.2
LV1_6_7_LV1_6_LV1_6_7,2023-07-03,1
LV1_6_8_LV1_6_LV1_6_8,2023-07-03,0.5
LV1_6_9_LV1_6_LV1_6_9,2023-07-03,1
LV1_6_10_LV1_6_LV1_6_10,2023-07-03,1.1
LV1_6_11_LV1_6_LV1_6_11,2023-07-03,0.6
LV1_6_12_LV1_6_LV1_6_12,2023-07-03,0.7
LV1_6_13_LV1_6_LV1_6_13,2023-07-03,0.9
LV1_8_1_LV1_8_LV1_8_1,2023-07-03,1.1
LV1_8_2_LV1_8_LV1_8_2,2023-07-03,1.2
LV1_8_3_LV1_8_LV1_8_3,2023-07-03,1.1
LV1_8_4_LV1_8_LV1_8_4,2023-07-03,1.6
LV1_8_5_LV1_8_LV1_8_5,2023-07-03,1.6
LV1_8_6_LV1_8_LV1_8_6,2023-07-03,1.2
LV1_8_7_LV1_8_LV1_8_7,2023-07-03,1
LV1_8_8_LV1_8_LV1_8_8,2023-07-03,1.3
LV1_8_9_LV1_8_LV1_8_9,2023-07-03,1.1
LV1_8_10_LV1_8_LV1_8_10,2023-07-03,1.2
LV1_8_11_LV1_8_LV1_8_11,2023-07-03,0.9
LV1_8_12_LV1_8_LV1_8_12,2023-07-03,0.7
