block ,bed ,bed-row ,bed-col ,pop ,mf ,rep ,height.cm ,long.leaf.cm ,herbiv.y.n ,survey-notes 
A ,A ,1,A ,TM2 ,6,11,20.4,0.9,Y ,
A ,A ,1,B ,LVTR1 ,7,1,,,,Dead 
A ,A ,2,A ,SQ2 ,6,14,,,,Dead 
A ,A ,2,B ,YO8 ,8,3,,,,Dead 
A ,A ,3,A ,CC ,2,3,9.1,2,Y ,
A ,A ,3,B ,YO11 ,5,14,,,,Dead 
A ,A ,4,A ,BH ,6,3,,,,Dead 
A ,A ,4,B ,DPR ,4,8,,,,Dead 
A ,A ,5,A ,CP2 ,5,1,2.6,2,Y ,
A ,A ,5,B ,LVTR1 ,3,12,,,,Dead 
A ,A ,6,A ,CC ,5,3,5.3,1.8,Y ,
A ,A ,6,B ,CC ,3,3,9.6,2.5,Y ,
A ,A ,7,A ,WL1 ,2,8,,,,Dead 
A ,A ,7,B ,IH ,5,3,5.7,3,Y ,
A ,A ,8,A ,DPR ,6,15,,,,Dead 
A ,A ,8,B ,CP3 ,5,9,2.4,0.8,Y ,
A ,A ,9,A ,SC ,6,3,,,,Dead 
A ,A ,9,B ,SQ2 ,8,9,2.3,N/A ,Y ,no leaves 
A ,A ,10,A ,FR ,4,2,,,,Dead 
A ,A ,10,B ,CP2 ,3,1,,,,Dead 
A ,A ,11,A ,YO8 ,2,12,,,,Dead 
A ,A ,11,B ,LV3 ,7,9,,,,Dead 
A ,A ,12,A ,YO7 ,5,11,,,,Dead 
A ,A ,12,B ,TM2 ,7,20,,,,Dead 
A ,A ,13,A ,YO7 ,7,12,,,,Dead 
A ,A ,13,B ,YO8 ,1,12,,,,Dead 
A ,A ,14,A ,WV ,4,8,,,,Dead 
A ,A ,14,B ,CP3 ,6,9,,,,Dead 
A ,A ,15,A ,DPR ,1,8,,,,Dead 
A ,A ,15,B ,YO11 ,7,9,2.2,N/A ,Y ,no leaves 
A ,A ,16,A ,CP2 ,4,1,2.8,N/A ,Y ,no leaves 
A ,A ,16,B ,BH ,3,3,6.3,5.1,Y ,
A ,A ,17,A ,BH ,7,3,8.4,4.4,Y ,
A ,A ,17,B ,YO11 ,5,9,2.9,1.2,Y ,dying 
A ,A ,18,A ,BH ,4,3,7.6,5,Y ,
A ,A ,18,B ,LVTR1 ,8,17,1.7,N/A ,Y ,just stem 
