seqid	bp	p_val	calibrated.pvalue	p.bonf
Chr6	20652277	3.634221150739367e-7	7.704787510492423e-28	0.03501899158640947
Chr4	5383224	4.246610094750953e-7	5.535525902511819e-27	0.040919910212010704
Chr5	14295930	7.151306173075095e-7	2.6568926318972686e-24	0.0689092711531343
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132
Chr14	4027533	1.4304254995191725e-6	3.870877577247352e-21	0.13783437070816795
Chr3	17249919	1.7974095547640933e-6	3.4548231169305267e-20	0.17319658728751325
Chr3	17249921	1.9090077794155597e-6	6.054698804358162e-20	0.18395008061670393
Chr2	21052752	2.646265820995996e-6	1.1318020335494115e-18	0.2549915282453532
Chr2	17207072	3.3184634590103674e-06	7.73202547703949e-18	0.31976382044678
Chr3	3479088	4.1998378157700305e-6	5.22414878786632e-17	0.40469217208978436
Chr4	5381276	5.184989071209186e-6	2.681191112376894e-16	0.49962036191264597
Chr3	19108661	5.564849676147211e-6	4.572143577062658e-16	0.5362233499438691
Chr12	16053712	6.02258349914187e-6	8.231378540736962e-16	0.5803301233938114
Chr8	23967306	6.778143237260001e-6	1.949506798840653e-15	0.6531351041991365
Chr4	5381951	1.2895013488334721e-5	1.5195862797591645e-13	1
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1
Chr11	18482363	1.619006356752351e-5	6.24932719277215e-13	1
Chr9	22642072	2.0439197598585435e-5	2.4945289031050543e-12	1
Chr4	5381215	2.1505431869038498e-5	3.346135492476422e-12	1
Chr4	5382099	2.194222170742112e-5	3.755179173889269e-12	1
Chr6	10586845	2.218908309668999e-5	4.003261700714086e-12	1
Chr1	102932	2.5438418658703208e-5	8.648126888380846e-12	1
Chr12	13996334	2.85043714283999e-5	1.6170172994474437e-11	1
Chr5	14295948	2.959267217491738e-5	1.981022023880902e-11	1
Chr7	2961152	3.2165634737355376e-5	3.095846304802264e-11	1
Chr3	5740387	3.2802767248114355e-5	3.435078000961102e-11	1
Chr7	11038638	3.4895721486415103e-5	4.755602290676329e-11	1
Chr4	6500185	4.055731159851864e-5	1.0317367920716403e-10	1
Chr11	18482362	4.108755485509837e-5	1.1019624481381762e-10	1
Chr12	7313315	4.304404341760511e-5	1.3931304772862565e-10	1
Chr9	3260295	4.4512655526277286e-5	1.647619028543837e-10	1
Chr5	4926998	4.6331842124764013e-5	2.010154076049894e-10	1
Chr4	10437262	4.86204725900815e-5	2.5486120963235203e-10	1
Chr10	12190797	4.9219814462897716e-5	2.706081764647793e-10	1
Chr8	23967172	5.2190236635973776e-5	3.597649262943135e-10	1
Chr2	10813336	5.51035579115055e-5	4.670963839613956e-10	1
Chr14	16665968	5.525896103240002e-5	4.734264697744657e-10	1
Chr9	22642088	5.860313050180318e-5	6.258841511870842e-10	1
Chr9	3889348	6.495174397977673e-5	1.0125443102982218e-9	1
Chr6	20651518	6.575996870371263e-5	1.0721414172686342e-9	1
Chr10	6314883	6.806649296648856e-5	1.2565398646041356e-9	1
Chr5	2898730	6.882096124571526e-5	1.321654348141379e-9	1
Chr5	14539785	7.424384712887607e-5	1.865597357367293e-9	1
Chr2	22186353	8.029639063768688e-5	2.6496768074612983e-9	1
Chr4	13979888	8.040891917949396e-5	2.6662120878723927e-9	1
Chr4	5381370	8.370922642125201e-5	3.1855439175545313e-9	1
Chr11	8701257	9.155760314722e-5	4.712194166965251e-9	1
Chr3	4828386	9.19581853827454e-5	4.802096789108251e-9	1
Chr4	13583277	9.264566577280758e-5	4.959272648374942e-9	1
Chr1	13239580	9.632366571637605e-5	5.8640797797036705e-9	1
Chr11	19251679	9.83261136830792e-5	6.4038828613291654e-9	1
Chr4	4668094	1.0364248911034628e-4	8.009835674953152e-9	1
Chr6	23434743	1.0468521962839889e-4	8.355759889686646e-9	1
Chr11	15321001	1.0894097046809718e-4	9.879305969564727e-9	1
Chr13	3141211	1.2065973182875794e-4	1.508955497098391e-8	1
Chr10	20107002	1.2407179625863624e-4	1.691427537191003e-8	1
Chr11	9939612	1.2586622105034066e-4	1.7934010346564993e-8	1
Chr11	17997371	1.319631849462043e-4	2.172362112851026e-8	1
Chr8	12970984	1.321759581729769e-4	2.186524258515115e-8	1
Chr5	19959729	1.3378265202731616e-4	2.295571280627963e-8	1
Chr4	5381985	1.340162838647966e-4	2.3117401869620623e-8	1
Chr9	21360097	1.344671216084106e-4	2.343167288054689e-8	1
Chr5	15151885	1.350300967700196e-4	2.3828314447548953e-8	1
Chr7	8345084	1.353708192230898e-4	2.4070647339362974e-8	1
Chr1	5019875	1.3573028169239814e-4	2.4328180169453397e-8	1
Chr3	2821585	1.4441259055889013e-4	3.1153064920050696e-8	1
Chr2	22186323	1.456550912820384e-4	3.2228305842803993e-8	1
Chr11	17997367	1.4939184203887465e-4	3.561791547890896e-8	1
Chr4	5381263	1.5036364972496313e-4	3.653854845790943e-8	1
Chr1	6790840	1.5155103879969958e-4	3.7685747732234545e-8	1
Chr8	23920397	1.5180508628666466e-4	3.793441182312469e-8	1
Chr4	5381139	1.5262421237376256e-4	3.874395496096847e-8	1
Chr5	14482934	1.539087486842272e-4	4.0037542501999003e-8	1
Chr5	19501969	1.5618591710687296e-4	4.2404029024744195e-8	1
Chr10	14294380	1.5838372301067992e-4	4.477848581662336e-8	1
Chr3	7629187	1.60053733463381e-4	4.664324109067453e-8	1
Chr9	16380028	1.6379944376316815e-4	5.1020133950364365e-8	1
Chr1	102886	1.7058763640873936e-4	5.966177895498306e-8	1
Chr7	11350021	1.7232192509660798e-4	6.202132268500272e-8	1
Chr7	13515013	1.77426902853584e-4	6.933836609898055e-8	1
Chr10	11133154	1.7815944022860674e-4	7.043472845062894e-8	1
Chr10	3416855	1.7917835504901194e-4	7.197940470987226e-8	1
Chr1	13822575	1.840185027339348e-4	7.963530239782458e-8	1
Chr4	5381286	1.8414969087810742e-4	7.985023440043085e-8	1
Chr12	16053723	1.9142617315280892e-4	9.240332056311697e-8	1
Chr13	16413650	1.9471660369861413e-4	9.849736398628772e-8	1
Chr6	150617	1.94743949675434e-4	9.854912551960759e-8	1
Chr5	2992147	0.00019751055056994553	1.0388214556592785e-7	1
Chr11	15321004	1.9813806114229857e-4	1.0511848855054944e-7	1
Chr7	7458944	1.9962611390947344e-4	1.0809021506906678e-7	1
Chr7	17216016	2.0695983417681833e-4	1.2357256510504347e-7	1
Chr8	6043698	2.075654442275194e-4	1.2491444356036703e-7	1
Chr1	20970058	2.1033232868094927e-4	1.3117075553621743e-7	1
Chr12	19441371	2.117445948750353e-4	1.344442645892566e-7	1
Chr13	11375992	2.1383389359234674e-4	1.39387652905206e-7	1
Chr11	12726600	2.2020077574646404e-4	1.5520595434594068e-7	1
