seqid	start	end	strand	gene_id	description
Chr1	4484	8134	-	Sdiv_ptg000014l_0001-R	Similar to CER1: Very-long-chain aldehyde decarbonylase CER1 (Arabidopsis thaliana)
Chr1	9278	9550	-	Sdiv_ptg000014l_0002-R	Similar to At1g02190: Protein CER1-like 1 (Arabidopsis thaliana)
Chr1	11067	12229	+	Sdiv_ptg000014l_0003-R	Protein of unknown function
Chr1	11787	14298	-	Sdiv_ptg000014l_0004-R	Similar to AMC1: Metacaspase-1 (Arabidopsis thaliana)
Chr1	15062	16148	-	Sdiv_ptg000014l_0005-R	Protein of unknown function
Chr1	16326	18164	-	Sdiv_ptg000014l_0006-R	Similar to At1g02150: Pentatricopeptide repeat-containing protein At1g02150 (Arabidopsis thaliana)
Chr1	18436	21522	-	Sdiv_ptg000014l_0007-R	Similar to ALG12: Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1%2C6-mannosyltransferase (Arabidopsis thaliana)
Chr1	21515	22974	+	Sdiv_ptg000014l_0008-R	Similar to MAGO: Protein mago nashi homolog (Arabidopsis thaliana)
Chr1	22868	27137	-	Sdiv_ptg000014l_0009-R	Similar to VAD1: Protein VASCULAR ASSOCIATED DEATH 1%2C chloroplastic (Arabidopsis thaliana)
Chr1	27317	33757	-	Sdiv_ptg000014l_0010-R	Similar to NRG2: Nitrate regulatory gene2 protein (Arabidopsis thaliana)
Chr1	34614	37592	+	Sdiv_ptg000014l_0011-R	Similar to CSN7: COP9 signalosome complex subunit 7 (Arabidopsis thaliana)
Chr1	41463	55300	-	Sdiv_ptg000014l_0012-R	Similar to cnot1: CCR4-NOT transcription complex subunit 1 (Danio rerio)
Chr1	58570	59124	+	Sdiv_ptg000014l_0013-R	Protein of unknown function
Chr1	61895	63509	-	Sdiv_ptg000014l_0014-R	Similar to SPL8: Squamosa promoter-binding-like protein 8 (Arabidopsis thaliana)
Chr1	65630	67922	+	Sdiv_ptg000014l_0015-R	Similar to At1g02060: Pentatricopeptide repeat-containing protein At1g02060%2C chloroplastic (Arabidopsis thaliana)
Chr1	68507	69882	+	Sdiv_ptg000014l_0016-R	Similar to PKSA: Type III polyketide synthase A (Arabidopsis thaliana)
Chr1	73128	77050	-	Sdiv_ptg000014l_0017-R	Similar to SEC1A: Protein transport Sec1a (Arabidopsis thaliana)
Chr1	83236	84782	-	Sdiv_ptg000014l_0018-R	Similar to At1g01970: Pentatricopeptide repeat-containing protein At1g01970 (Arabidopsis thaliana)
Chr1	85739	92723	+	Sdiv_ptg000014l_0019-R	Similar to BIG3: Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (Arabidopsis thaliana)
Chr1	92330	97787	-	Sdiv_ptg000014l_0020-R	Similar to KINUB: Kinesin-like protein KIN-UB (Arabidopsis thaliana)
Chr1	98238	100014	-	Sdiv_ptg000014l_0021-R	Similar to CYP18-1: Peptidyl-prolyl cis-trans isomerase CYP18-1 (Arabidopsis thaliana)
Chr1	99758	103380	+	Sdiv_ptg000014l_0022-R	Similar to ANKZF1: Ankyrin repeat and zinc finger domain-containing protein 1 (Homo sapiens)
Chr1	103721	107316	-	Sdiv_ptg000014l_0023-R	Similar to SETD3: Actin-histidine N-methyltransferase (Canis lupus familiaris)
Chr1	108145	110992	+	Sdiv_ptg000014l_0024-R	Similar to GET3A: ATPase GET3A (Arabidopsis thaliana)
Chr1	109567	110014	-	Sdiv_ptg000014l_0025-R	Protein of unknown function
Chr1	111553	114116	+	Sdiv_ptg000014l_0026-R	Similar to PEX11C: Peroxisomal membrane protein 11C (Arabidopsis thaliana)
Chr1	115206	121670	-	Sdiv_ptg000014l_0027-R	Similar to KEA1: K(+) efflux antiporter 1%2C chloroplastic (Arabidopsis thaliana)
Chr1	118937	119409	+	Sdiv_ptg000014l_0028-R	Protein of unknown function
Chr1	123608	125025	-	Sdiv_ptg000014l_0029-R	Similar to PLIM2B: LIM domain-containing protein PLIM2b (Arabidopsis thaliana)
Chr1	125616	129389	-	Sdiv_ptg000014l_0030-R	Protein of unknown function
Chr1	129533	131972	+	Sdiv_ptg000014l_0031-R	Similar to TAD1: tRNA-specific adenosine deaminase TAD1 (Arabidopsis thaliana)
Chr1	131909	132838	-	Sdiv_ptg000014l_0032-R	Similar to ADF10: Actin-depolymerizing factor 10 (Arabidopsis thaliana)
Chr1	133602	135086	-	Sdiv_ptg000014l_0033-R	Similar to NAC002: NAC domain-containing protein 2 (Arabidopsis thaliana)
Chr1	135416	140376	-	Sdiv_ptg000014l_0034-R	Similar to ACH2: Acyl-CoA hydrolase 2 (Arabidopsis thaliana)
Chr1	145386	148203	-	Sdiv_ptg000014l_0035-R	Similar to PRD3: Putative recombination initiation defects 3 (Arabidopsis thaliana)
Chr1	148863	150849	+	Sdiv_ptg000014l_0036-R	Similar to PUB54: U-box domain-containing protein 54 (Arabidopsis thaliana)
Chr1	151869	152746	+	Sdiv_ptg000014l_0037-R	Similar to PUB54: U-box domain-containing protein 54 (Arabidopsis thaliana)
Chr1	154791	157448	+	Sdiv_ptg000014l_0038-R	Similar to PUB55: Putative U-box domain-containing protein 55 (Arabidopsis thaliana)
Chr1	158875	163148	+	Sdiv_ptg000014l_0039-R	Similar to SPPL4: Signal peptide peptidase-like 4 (Arabidopsis thaliana)
Chr1	164633	166135	-	Sdiv_ptg000014l_0040-R	Similar to pitC: Phosphatidylinositol transfer protein 3 (Dictyostelium discoideum)
Chr1	167656	168708	+	Sdiv_ptg000014l_0041-R	Similar to PIP1-3: Aquaporin PIP1-3 (Arabidopsis thaliana)
Chr1	170445	173305	+	Sdiv_ptg000014l_0042-R	Similar to GPAT4: Glycerol-3-phosphate 2-O-acyltransferase 4 (Arabidopsis thaliana)
Chr1	173379	173635	+	Sdiv_ptg000014l_0043-R	Protein of unknown function
Chr1	173674	175707	-	Sdiv_ptg000014l_0044-R	Similar to CYP86A4: Cytochrome P450 86A4 (Arabidopsis thaliana)
Chr1	179180	183296	-	Sdiv_ptg000014l_0045-R	Similar to FRO2: Ferric reduction oxidase 2 (Arabidopsis thaliana)
Chr1	185743	188161	-	Sdiv_ptg000014l_0046-R	Protein of unknown function
Chr1	189507	191680	-	Sdiv_ptg000014l_0047-R	Similar to BPS1: Protein BPS1%2C chloroplastic (Arabidopsis thaliana)
