seqid	bp	p_val	calibrated.pvalue	p.bonf	start	end	strand	gene_id	description	dist_to_start	dist_to_end	in_gene	in_window	position	distance
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	99758	103380	+	Sdiv_ptg000014l_0022-R	Similar to ANKZF1: Ankyrin repeat and zinc finger domain-containing protein 1 (Homo sapiens)	3005	-617	TRUE	TRUE	in_gene	0
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	103721	107316	-	Sdiv_ptg000014l_0023-R	Similar to SETD3: Actin-histidine N-methyltransferase (Canis lupus familiaris)	-958	-4553	FALSE	TRUE	upstream	958
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	98238	100014	-	Sdiv_ptg000014l_0021-R	Similar to CYP18-1: Peptidyl-prolyl cis-trans isomerase CYP18-1 (Arabidopsis thaliana)	4525	2749	FALSE	TRUE	downstream	2749
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	92330	97787	-	Sdiv_ptg000014l_0020-R	Similar to KINUB: Kinesin-like protein KIN-UB (Arabidopsis thaliana)	10433	4976	FALSE	TRUE	downstream	4976
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	108145	110992	+	Sdiv_ptg000014l_0024-R	Similar to GET3A: ATPase GET3A (Arabidopsis thaliana)	-5382	-8229	FALSE	TRUE	upstream	5382
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	109567	110014	-	Sdiv_ptg000014l_0025-R	Protein of unknown function	-6804	-7251	FALSE	TRUE	upstream	6804
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	111553	114116	+	Sdiv_ptg000014l_0026-R	Similar to PEX11C: Peroxisomal membrane protein 11C (Arabidopsis thaliana)	-8790	-11353	FALSE	TRUE	upstream	8790
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	85739	92723	+	Sdiv_ptg000014l_0019-R	Similar to BIG3: Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (Arabidopsis thaliana)	17024	10040	FALSE	TRUE	downstream	10040
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	115206	121670	-	Sdiv_ptg000014l_0027-R	Similar to KEA1: K(+) efflux antiporter 1%2C chloroplastic (Arabidopsis thaliana)	-12443	-18907	FALSE	TRUE	upstream	12443
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	118937	119409	+	Sdiv_ptg000014l_0028-R	Protein of unknown function	-16174	-16646	FALSE	TRUE	upstream	16174
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	83236	84782	-	Sdiv_ptg000014l_0018-R	Similar to At1g01970: Pentatricopeptide repeat-containing protein At1g01970 (Arabidopsis thaliana)	19527	17981	FALSE	TRUE	downstream	17981
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	123608	125025	-	Sdiv_ptg000014l_0029-R	Similar to PLIM2B: LIM domain-containing protein PLIM2b (Arabidopsis thaliana)	-20845	-22262	FALSE	TRUE	upstream	20845
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	125616	129389	-	Sdiv_ptg000014l_0030-R	Protein of unknown function	-22853	-26626	FALSE	TRUE	upstream	22853
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	73128	77050	-	Sdiv_ptg000014l_0017-R	Similar to SEC1A: Protein transport Sec1a (Arabidopsis thaliana)	29635	25713	FALSE	TRUE	downstream	25713
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	129533	131972	+	Sdiv_ptg000014l_0031-R	Similar to TAD1: tRNA-specific adenosine deaminase TAD1 (Arabidopsis thaliana)	-26770	-29209	FALSE	TRUE	upstream	26770
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	131909	132838	-	Sdiv_ptg000014l_0032-R	Similar to ADF10: Actin-depolymerizing factor 10 (Arabidopsis thaliana)	-29146	-30075	FALSE	TRUE	upstream	29146
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	133602	135086	-	Sdiv_ptg000014l_0033-R	Similar to NAC002: NAC domain-containing protein 2 (Arabidopsis thaliana)	-30839	-32323	FALSE	TRUE	upstream	30839
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	135416	140376	-	Sdiv_ptg000014l_0034-R	Similar to ACH2: Acyl-CoA hydrolase 2 (Arabidopsis thaliana)	-32653	-37613	FALSE	TRUE	upstream	32653
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	68507	69882	+	Sdiv_ptg000014l_0016-R	Similar to PKSA: Type III polyketide synthase A (Arabidopsis thaliana)	34256	32881	FALSE	TRUE	downstream	32881
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	65630	67922	+	Sdiv_ptg000014l_0015-R	Similar to At1g02060: Pentatricopeptide repeat-containing protein At1g02060%2C chloroplastic (Arabidopsis thaliana)	37133	34841	FALSE	TRUE	downstream	34841
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	61895	63509	-	Sdiv_ptg000014l_0014-R	Similar to SPL8: Squamosa promoter-binding-like protein 8 (Arabidopsis thaliana)	40868	39254	FALSE	TRUE	downstream	39254
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	145386	148203	-	Sdiv_ptg000014l_0035-R	Similar to PRD3: Putative recombination initiation defects 3 (Arabidopsis thaliana)	-42623	-45440	FALSE	TRUE	upstream	42623
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	58570	59124	+	Sdiv_ptg000014l_0013-R	Protein of unknown function	44193	43639	FALSE	TRUE	downstream	43639
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	148863	150849	+	Sdiv_ptg000014l_0036-R	Similar to PUB54: U-box domain-containing protein 54 (Arabidopsis thaliana)	-46100	-48086	FALSE	TRUE	upstream	46100
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	41463	55300	-	Sdiv_ptg000014l_0012-R	Similar to cnot1: CCR4-NOT transcription complex subunit 1 (Danio rerio)	61300	47463	FALSE	TRUE	downstream	47463
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	151869	152746	+	Sdiv_ptg000014l_0037-R	Similar to PUB54: U-box domain-containing protein 54 (Arabidopsis thaliana)	-49106	-49983	FALSE	TRUE	upstream	49106
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	154791	157448	+	Sdiv_ptg000014l_0038-R	Similar to PUB55: Putative U-box domain-containing protein 55 (Arabidopsis thaliana)	-52028	-54685	FALSE	TRUE	upstream	52028
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	158875	163148	+	Sdiv_ptg000014l_0039-R	Similar to SPPL4: Signal peptide peptidase-like 4 (Arabidopsis thaliana)	-56112	-60385	FALSE	TRUE	upstream	56112
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	164633	166135	-	Sdiv_ptg000014l_0040-R	Similar to pitC: Phosphatidylinositol transfer protein 3 (Dictyostelium discoideum)	-61870	-63372	FALSE	TRUE	upstream	61870
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	167656	168708	+	Sdiv_ptg000014l_0041-R	Similar to PIP1-3: Aquaporin PIP1-3 (Arabidopsis thaliana)	-64893	-65945	FALSE	TRUE	upstream	64893
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	34614	37592	+	Sdiv_ptg000014l_0011-R	Similar to CSN7: COP9 signalosome complex subunit 7 (Arabidopsis thaliana)	68149	65171	FALSE	TRUE	downstream	65171
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	170445	173305	+	Sdiv_ptg000014l_0042-R	Similar to GPAT4: Glycerol-3-phosphate 2-O-acyltransferase 4 (Arabidopsis thaliana)	-67682	-70542	FALSE	TRUE	upstream	67682
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	27317	33757	-	Sdiv_ptg000014l_0010-R	Similar to NRG2: Nitrate regulatory gene2 protein (Arabidopsis thaliana)	75446	69006	FALSE	TRUE	downstream	69006
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	173379	173635	+	Sdiv_ptg000014l_0043-R	Protein of unknown function	-70616	-70872	FALSE	TRUE	upstream	70616
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	173674	175707	-	Sdiv_ptg000014l_0044-R	Similar to CYP86A4: Cytochrome P450 86A4 (Arabidopsis thaliana)	-70911	-72944	FALSE	TRUE	upstream	70911
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	22868	27137	-	Sdiv_ptg000014l_0009-R	Similar to VAD1: Protein VASCULAR ASSOCIATED DEATH 1%2C chloroplastic (Arabidopsis thaliana)	79895	75626	FALSE	TRUE	downstream	75626
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	179180	183296	-	Sdiv_ptg000014l_0045-R	Similar to FRO2: Ferric reduction oxidase 2 (Arabidopsis thaliana)	-76417	-80533	FALSE	TRUE	upstream	76417
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	21515	22974	+	Sdiv_ptg000014l_0008-R	Similar to MAGO: Protein mago nashi homolog (Arabidopsis thaliana)	81248	79789	FALSE	TRUE	downstream	79789
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	18436	21522	-	Sdiv_ptg000014l_0007-R	Similar to ALG12: Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1%2C6-mannosyltransferase (Arabidopsis thaliana)	84327	81241	FALSE	TRUE	downstream	81241
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	185743	188161	-	Sdiv_ptg000014l_0046-R	Protein of unknown function	-82980	-85398	FALSE	TRUE	upstream	82980
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	16326	18164	-	Sdiv_ptg000014l_0006-R	Similar to At1g02150: Pentatricopeptide repeat-containing protein At1g02150 (Arabidopsis thaliana)	86437	84599	FALSE	TRUE	downstream	84599
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	15062	16148	-	Sdiv_ptg000014l_0005-R	Protein of unknown function	87701	86615	FALSE	TRUE	downstream	86615
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	189507	191680	-	Sdiv_ptg000014l_0047-R	Similar to BPS1: Protein BPS1%2C chloroplastic (Arabidopsis thaliana)	-86744	-88917	FALSE	TRUE	upstream	86744
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	11787	14298	-	Sdiv_ptg000014l_0004-R	Similar to AMC1: Metacaspase-1 (Arabidopsis thaliana)	90976	88465	FALSE	TRUE	downstream	88465
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	192447	194989	-	Sdiv_ptg000014l_0048-R	Similar to At1g01540: Probable serine/threonine-protein kinase At1g01540 (Arabidopsis thaliana)	-89684	-92226	FALSE	TRUE	upstream	89684
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	11067	12229	+	Sdiv_ptg000014l_0003-R	Protein of unknown function	91696	90534	FALSE	TRUE	downstream	90534
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	9278	9550	-	Sdiv_ptg000014l_0002-R	Similar to At1g02190: Protein CER1-like 1 (Arabidopsis thaliana)	93485	93213	FALSE	TRUE	downstream	93213
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	196573	197662	+	Sdiv_ptg000014l_0049-R	Similar to AGL28: Agamous-like MADS-box protein AGL28 (Arabidopsis thaliana)	-93810	-94899	FALSE	TRUE	upstream	93810
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	4484	8134	-	Sdiv_ptg000014l_0001-R	Similar to CER1: Very-long-chain aldehyde decarbonylase CER1 (Arabidopsis thaliana)	98279	94629	FALSE	TRUE	downstream	94629
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	198459	201220	-	Sdiv_ptg000014l_0050-R	Similar to AN: C-terminal binding protein AN (Arabidopsis thaliana)	-95696	-98457	FALSE	TRUE	upstream	95696
Chr1	102763	1.3632212057280723e-6	2.409719355103963e-21	0.13135863216275132	201916	203473	-	Sdiv_ptg000014l_0051-R	Similar to At1g01500: Uncharacterized protein At1g01500 (Arabidopsis thaliana)	-99153	-100710	FALSE	TRUE	upstream	99153
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	170445	173305	+	Sdiv_ptg000014l_0042-R	Similar to GPAT4: Glycerol-3-phosphate 2-O-acyltransferase 4 (Arabidopsis thaliana)	2236	-624	TRUE	TRUE	in_gene	0
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	173379	173635	+	Sdiv_ptg000014l_0043-R	Protein of unknown function	-698	-954	FALSE	TRUE	upstream	698
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	173674	175707	-	Sdiv_ptg000014l_0044-R	Similar to CYP86A4: Cytochrome P450 86A4 (Arabidopsis thaliana)	-993	-3026	FALSE	TRUE	upstream	993
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	167656	168708	+	Sdiv_ptg000014l_0041-R	Similar to PIP1-3: Aquaporin PIP1-3 (Arabidopsis thaliana)	5025	3973	FALSE	TRUE	downstream	3973
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	179180	183296	-	Sdiv_ptg000014l_0045-R	Similar to FRO2: Ferric reduction oxidase 2 (Arabidopsis thaliana)	-6499	-10615	FALSE	TRUE	upstream	6499
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	164633	166135	-	Sdiv_ptg000014l_0040-R	Similar to pitC: Phosphatidylinositol transfer protein 3 (Dictyostelium discoideum)	8048	6546	FALSE	TRUE	downstream	6546
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	158875	163148	+	Sdiv_ptg000014l_0039-R	Similar to SPPL4: Signal peptide peptidase-like 4 (Arabidopsis thaliana)	13806	9533	FALSE	TRUE	downstream	9533
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	185743	188161	-	Sdiv_ptg000014l_0046-R	Protein of unknown function	-13062	-15480	FALSE	TRUE	upstream	13062
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	154791	157448	+	Sdiv_ptg000014l_0038-R	Similar to PUB55: Putative U-box domain-containing protein 55 (Arabidopsis thaliana)	17890	15233	FALSE	TRUE	downstream	15233
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	189507	191680	-	Sdiv_ptg000014l_0047-R	Similar to BPS1: Protein BPS1%2C chloroplastic (Arabidopsis thaliana)	-16826	-18999	FALSE	TRUE	upstream	16826
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	192447	194989	-	Sdiv_ptg000014l_0048-R	Similar to At1g01540: Probable serine/threonine-protein kinase At1g01540 (Arabidopsis thaliana)	-19766	-22308	FALSE	TRUE	upstream	19766
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	151869	152746	+	Sdiv_ptg000014l_0037-R	Similar to PUB54: U-box domain-containing protein 54 (Arabidopsis thaliana)	20812	19935	FALSE	TRUE	downstream	19935
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	148863	150849	+	Sdiv_ptg000014l_0036-R	Similar to PUB54: U-box domain-containing protein 54 (Arabidopsis thaliana)	23818	21832	FALSE	TRUE	downstream	21832
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	196573	197662	+	Sdiv_ptg000014l_0049-R	Similar to AGL28: Agamous-like MADS-box protein AGL28 (Arabidopsis thaliana)	-23892	-24981	FALSE	TRUE	upstream	23892
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	145386	148203	-	Sdiv_ptg000014l_0035-R	Similar to PRD3: Putative recombination initiation defects 3 (Arabidopsis thaliana)	27295	24478	FALSE	TRUE	downstream	24478
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	198459	201220	-	Sdiv_ptg000014l_0050-R	Similar to AN: C-terminal binding protein AN (Arabidopsis thaliana)	-25778	-28539	FALSE	TRUE	upstream	25778
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	201916	203473	-	Sdiv_ptg000014l_0051-R	Similar to At1g01500: Uncharacterized protein At1g01500 (Arabidopsis thaliana)	-29235	-30792	FALSE	TRUE	upstream	29235
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	135416	140376	-	Sdiv_ptg000014l_0034-R	Similar to ACH2: Acyl-CoA hydrolase 2 (Arabidopsis thaliana)	37265	32305	FALSE	TRUE	downstream	32305
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	205446	206656	+	Sdiv_ptg000014l_0052-R	Protein of unknown function	-32765	-33975	FALSE	TRUE	upstream	32765
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	205820	207583	+	Sdiv_ptg000014l_0053-R	Similar to HIPP39: Heavy metal-associated isoprenylated plant protein 39 (Arabidopsis thaliana)	-33139	-34902	FALSE	TRUE	upstream	33139
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	209646	209828	-	Sdiv_ptg000014l_0054-R	Similar to ACS2: 1-aminocyclopropane-1-carboxylate synthase 2 (Arabidopsis thaliana)	-36965	-37147	FALSE	TRUE	upstream	36965
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	133602	135086	-	Sdiv_ptg000014l_0033-R	Similar to NAC002: NAC domain-containing protein 2 (Arabidopsis thaliana)	39079	37595	FALSE	TRUE	downstream	37595
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	131909	132838	-	Sdiv_ptg000014l_0032-R	Similar to ADF10: Actin-depolymerizing factor 10 (Arabidopsis thaliana)	40772	39843	FALSE	TRUE	downstream	39843
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	129533	131972	+	Sdiv_ptg000014l_0031-R	Similar to TAD1: tRNA-specific adenosine deaminase TAD1 (Arabidopsis thaliana)	43148	40709	FALSE	TRUE	downstream	40709
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	125616	129389	-	Sdiv_ptg000014l_0030-R	Protein of unknown function	47065	43292	FALSE	TRUE	downstream	43292
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	216180	217413	+	Sdiv_ptg000014l_0055-R	Similar to LEA14: Probable desiccation-related protein LEA14 (Arabidopsis thaliana)	-43499	-44732	FALSE	TRUE	upstream	43499
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	218354	218815	+	Sdiv_ptg000014l_0056-R	Protein of unknown function	-45673	-46134	FALSE	TRUE	upstream	45673
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	123608	125025	-	Sdiv_ptg000014l_0029-R	Similar to PLIM2B: LIM domain-containing protein PLIM2b (Arabidopsis thaliana)	49073	47656	FALSE	TRUE	downstream	47656
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	115206	121670	-	Sdiv_ptg000014l_0027-R	Similar to KEA1: K(+) efflux antiporter 1%2C chloroplastic (Arabidopsis thaliana)	57475	51011	FALSE	TRUE	downstream	51011
Chr1	172681	1.615727362374102e-5	6.172800738895027e-13	1	118937	119409	+	Sdiv_ptg000014l_0028-R	Protein of unknown function	53744	53272	FALSE	TRUE	downstream	53272
