seqid	bp	p_val	calibrated.pvalue	p.bonf	start	end	strand	gene_id	description	dist_to_start	dist_to_end	in_gene	in_window	position	distance
Chr1	21374778	1.3923443508667909e-5	1.6256820700673464e-7	1	21374584	21377609	+	Sdiv_ptg000014l_2044-R	Similar to At1g32780: Alcohol dehydrogenase-like 3 (Arabidopsis thaliana)	194	-2831	TRUE	TRUE	in_gene	0
Chr1	21374778	1.3923443508667909e-5	1.6256820700673464e-7	1	21370363	21372657	+	Sdiv_ptg000014l_2043-R	Similar to CID11: Polyadenylate-binding protein-interacting protein 11 (Arabidopsis thaliana)	4415	2121	FALSE	TRUE	downstream	2121
Chr1	21374778	1.3923443508667909e-5	1.6256820700673464e-7	1	21381273	21383030	+	Sdiv_ptg000014l_2045-R	Similar to NAC012: NAC domain-containing protein 12 (Arabidopsis thaliana)	-6495	-8252	FALSE	TRUE	upstream	6495
Chr1	21374778	1.3923443508667909e-5	1.6256820700673464e-7	1	21362141	21366709	-	Sdiv_ptg000014l_2042-R	Similar to At1g33420: PHD finger protein At1g33420 (Arabidopsis thaliana)	12637	8069	FALSE	TRUE	downstream	8069
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1	25725723	25727476	+	Sdiv_ptg000014l_2761-R	Protein of unknown function	136	-1617	TRUE	TRUE	in_gene	0
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1	25722728	25723166	-	Sdiv_ptg000014l_2760-R	Protein of unknown function	3131	2693	FALSE	TRUE	downstream	2693
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1	25729406	25730533	-	Sdiv_ptg000014l_2762-R	Protein of unknown function	-3547	-4674	FALSE	TRUE	upstream	3547
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1	25719436	25720571	-	Sdiv_ptg000014l_2759-R	Similar to IAA6: Auxin-responsive protein IAA6 (Arabidopsis thaliana)	6423	5288	FALSE	TRUE	downstream	5288
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1	25716539	25717679	+	Sdiv_ptg000014l_2757-R	Similar to AOP1.2: Probable 2-oxoglutarate-dependent dioxygenase AOP1.2 (Arabidopsis thaliana)	9320	8180	FALSE	TRUE	downstream	8180
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1	25717061	25717412	-	Sdiv_ptg000014l_2758-R	Protein of unknown function	8798	8447	FALSE	TRUE	downstream	8447
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1	25734429	25735907	+	Sdiv_ptg000014l_2763-R	Similar to NAC019: NAC domain-containing protein 19 (Arabidopsis thaliana)	-8570	-10048	FALSE	TRUE	upstream	8570
Chr1	25725859	3.0506050556940188e-5	9.066281112216495e-7	1	25715807	25716391	-	Sdiv_ptg000014l_2756-R	Protein of unknown function	10052	9468	FALSE	TRUE	downstream	9468
Chr10	14539731	1.5946650413066385e-5	2.2101562741188676e-7	1	14538887	14542462	+	Sdiv_ptg000001l_0637-R	Similar to CPN60: Chaperonin CPN60%2C mitochondrial (Arabidopsis thaliana)	844	-2731	TRUE	TRUE	in_gene	0
Chr13	4965604	2.7149696920416105e-6	2.8201836170189197e-9	0.48756783214529265	4971174	4978218	-	Sdiv_ptg000013l_0411-R	Similar to naa35: N-alpha-acetyltransferase 35%2C NatC auxiliary subunit (Danio rerio)	-5570	-12614	FALSE	TRUE	upstream	5570
Chr3	2687091	2.457364718867513e-5	5.721686441606392e-7	1	2684259	2687375	-	Sdiv_ptg000003l_0463-R	Similar to TOL3: TOM1-like protein 3 (Arabidopsis thaliana)	2832	-284	TRUE	TRUE	in_gene	0
Chr3	2687091	2.457364718867513e-5	5.721686441606392e-7	1	2687785	2689677	-	Sdiv_ptg000003l_0465-R	Protein of unknown function	-694	-2586	FALSE	TRUE	upstream	694
Chr3	2687091	2.457364718867513e-5	5.721686441606392e-7	1	2684487	2685238	+	Sdiv_ptg000003l_0464-R	Protein of unknown function	2604	1853	FALSE	TRUE	downstream	1853
Chr3	2687091	2.457364718867513e-5	5.721686441606392e-7	1	2682475	2684391	+	Sdiv_ptg000003l_0462-R	Similar to SPAC57A10.07: Uncharacterized protein C57A10.07 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	4616	2700	FALSE	TRUE	downstream	2700
Chr3	2687091	2.457364718867513e-5	5.721686441606392e-7	1	2679661	2681598	+	Sdiv_ptg000003l_0461-R	Similar to GLTP2: Glycolipid transfer protein 2 (Arabidopsis thaliana)	7430	5493	FALSE	TRUE	downstream	5493
Chr3	2687091	2.457364718867513e-5	5.721686441606392e-7	1	2692627	2695654	+	Sdiv_ptg000003l_0466-R	Similar to At1g21400: 2-oxoisovalerate dehydrogenase subunit alpha 1%2C mitochondrial (Arabidopsis thaliana)	-5536	-8563	FALSE	TRUE	upstream	5536
Chr3	10130825	1.3760191008087147e-5	1.5825345154119828e-7	1	10134436	10137624	-	Sdiv_ptg000003l_1332-R	Protein of unknown function	-3611	-6799	FALSE	TRUE	upstream	3611
Chr4	4682775	4.884500209226685e-6	1.3087110629489237e-8	0.8771829700739743	4678141	4684051	-	Sdiv_ptg000010l_0886-R	Similar to PEX5: Peroxisome biogenesis protein 5 (Arabidopsis thaliana)	4634	-1276	TRUE	TRUE	in_gene	0
Chr4	4682775	4.884500209226685e-6	1.3087110629489237e-8	0.8771829700739743	4684389	4687149	+	Sdiv_ptg000010l_0887-R	Similar to CSN6A: COP9 signalosome complex subunit 6a (Arabidopsis thaliana)	-1614	-4374	FALSE	TRUE	upstream	1614
Chr4	4682775	4.884500209226685e-6	1.3087110629489237e-8	0.8771829700739743	4687462	4689794	-	Sdiv_ptg000010l_0888-R	Similar to WRKY2: Probable WRKY transcription factor 2 (Arabidopsis thaliana)	-4687	-7019	FALSE	TRUE	upstream	4687
